,mean_fit_time,std_fit_time,mean_score_time,std_score_time,Number of estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,Outer fold iteration,Best model,CV error
0,0.15351362228393556,0.0440444907533652,0.0023888587951660157,0.00082792285147409,25,{'n_estimators': 25},0.8993055555555556,0.8888888888888888,0.8888888888888888,0.9131944444444444,0.9305555555555556,0.9041666666666666,0.015926867973860736,6,1.0,0.9991319444444444,0.9991319444444444,1.0,1.0,0.9996527777777778,0.0004252586358998694,0,0,0.09583333333333344
1,0.24821915626525878,0.0022686659658904375,0.00330963134765625,4.200407616398473e-05,50,{'n_estimators': 50},0.9236111111111112,0.9131944444444444,0.8819444444444444,0.9409722222222222,0.9340277777777778,0.91875,0.020670661202968368,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.08125000000000004
2,0.4866755485534668,0.0027696957608009448,0.005855083465576172,4.586791778039071e-05,100,{'n_estimators': 100},0.9340277777777778,0.9097222222222222,0.9027777777777778,0.9409722222222222,0.9270833333333334,0.9229166666666666,0.014467129622221984,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.07708333333333339
3,0.7367397785186768,0.004563142899644499,0.008582210540771485,0.0001407565300478344,150,{'n_estimators': 150},0.9166666666666666,0.9097222222222222,0.8993055555555556,0.9513888888888888,0.9340277777777778,0.9222222222222223,0.018451847577203348,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.07777777777777772
4,1.2166425228118896,0.0055149388471565225,0.013631963729858398,0.00026170440163720074,250,{'n_estimators': 250},0.9201388888888888,0.9270833333333334,0.8993055555555556,0.9513888888888888,0.9340277777777778,0.9263888888888889,0.017066952399228466,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0.07361111111111107
5,2.4675377368927003,0.06179185624354468,0.027206230163574218,0.0007003103043381506,500,{'n_estimators': 500},0.9236111111111112,0.9201388888888888,0.8993055555555556,0.9548611111111112,0.9236111111111112,0.9243055555555555,0.01775932201742282,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.07569444444444451
0,0.1235273838043213,0.0018367630211842182,0.001993703842163086,2.702341814737814e-05,25,{'n_estimators': 25},0.9097222222222222,0.9375,0.9097222222222222,0.9409722222222222,0.9097222222222222,0.9215277777777778,0.014500425706820213,6,1.0,0.9991319444444444,1.0,1.0,1.0,0.999826388888889,0.0003472222222222321,1,0,0.07847222222222217
1,0.2592134952545166,0.02194939411472198,0.0033616542816162108,0.0002069268018678848,50,{'n_estimators': 50},0.9027777777777778,0.9513888888888888,0.9097222222222222,0.9375,0.9305555555555556,0.9263888888888889,0.017894581564895994,5,1.0,1.0,1.0,0.9991319444444444,1.0,0.999826388888889,0.0003472222222222321,1,0,0.07361111111111107
2,0.49565916061401366,0.014633469580888483,0.0058786869049072266,0.00011334139403602484,100,{'n_estimators': 100},0.9097222222222222,0.9513888888888888,0.9166666666666666,0.9409722222222222,0.9201388888888888,0.9277777777777778,0.01574414451215921,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0.07222222222222219
3,0.729062843322754,0.0019241360718516576,0.008413600921630859,4.2644653691987374e-05,150,{'n_estimators': 150},0.9166666666666666,0.9583333333333334,0.9097222222222222,0.9548611111111112,0.9270833333333334,0.9333333333333333,0.019812975857898783,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,0.06666666666666665
4,1.2315969944000245,0.03230040059392637,0.013653182983398437,0.0002597808925415799,250,{'n_estimators': 250},0.90625,0.9479166666666666,0.9375,0.9409722222222222,0.9236111111111112,0.93125,0.014796719272682288,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0.06874999999999998
5,2.4745959281921386,0.07075854806923383,0.027924776077270508,0.0024344861828394953,500,{'n_estimators': 500},0.9131944444444444,0.9548611111111112,0.9201388888888888,0.9375,0.9236111111111112,0.929861111111111,0.014796719272682328,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0.07013888888888897
0,0.12418665885925292,0.0011751825325942414,0.0020087718963623046,4.7961522516957454e-05,25,{'n_estimators': 25},0.9236111111111112,0.9166666666666666,0.9201388888888888,0.9097222222222222,0.90625,0.9152777777777779,0.006440012844094244,6,0.9991319444444444,1.0,1.0,1.0,1.0,0.999826388888889,0.0003472222222222321,2,0,0.08472222222222214
1,0.25817508697509767,0.01396203101567826,0.003495025634765625,0.00024347136265683071,50,{'n_estimators': 50},0.9097222222222222,0.9444444444444444,0.9236111111111112,0.9201388888888888,0.9027777777777778,0.920138888888889,0.014231876063832768,5,1.0,1.0,1.0,1.0,0.9991319444444444,0.999826388888889,0.0003472222222222321,2,0,0.07986111111111105
2,0.6415941715240479,0.1524772662787318,0.0064144134521484375,0.0005381285745166962,100,{'n_estimators': 100},0.9305555555555556,0.9444444444444444,0.9340277777777778,0.9236111111111112,0.8888888888888888,0.9243055555555555,0.01894191902359148,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,0,0.07569444444444451
3,1.450366163253784,0.7429124116757865,0.03830676078796387,0.044543939118826266,150,{'n_estimators': 150},0.9270833333333334,0.9479166666666666,0.9270833333333334,0.9375,0.9097222222222222,0.929861111111111,0.012691435335067397,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,0,0.07013888888888897
4,2.153366947174072,1.3816015906288488,0.06721162796020508,0.10573854211536095,250,{'n_estimators': 250},0.9444444444444444,0.9479166666666666,0.9305555555555556,0.9305555555555556,0.9131944444444444,0.9333333333333333,0.012305586907409264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,1,0.06666666666666665
5,2.4766330242156984,0.08233307363417051,0.02741079330444336,0.0009735638967751656,500,{'n_estimators': 500},0.9409722222222222,0.9444444444444444,0.9270833333333334,0.9270833333333334,0.9131944444444444,0.9305555555555556,0.011197580205970203,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,0,0.06944444444444442
0,0.12196974754333496,0.00199783256240015,0.0019489288330078124,6.960411451338279e-05,25,{'n_estimators': 25},0.9236111111111112,0.8993055555555556,0.9340277777777778,0.9409722222222222,0.875,0.9145833333333334,0.024315474166682772,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,0,0.08541666666666659
1,0.2410355567932129,0.000898392091106807,0.0032895565032958984,5.3221649181720544e-05,50,{'n_estimators': 50},0.9305555555555556,0.9270833333333334,0.9375,0.9409722222222222,0.90625,0.9284722222222221,0.012147816447594374,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,0,0.07152777777777786
2,0.4849260330200195,0.005032835090193869,0.006044435501098633,0.000225751470887198,100,{'n_estimators': 100},0.9236111111111112,0.90625,0.9375,0.9409722222222222,0.9131944444444444,0.9243055555555555,0.013429916392926193,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,0,0.07569444444444451
