,mean_fit_time,std_fit_time,mean_score_time,std_score_time,Number of neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,Outer fold iteration,Best model,CV error
0,0.002080392837524414,0.0002607381770895091,0.00795297622680664,0.001109112215110421,15,{'n_neighbors': 15},0.90625,0.8784722222222222,0.8645833333333334,0.90625,0.8819444444444444,0.8875,0.016374758503543876,1,0.9019097222222222,0.8958333333333334,0.90625,0.8940972222222222,0.8949652777777778,0.898611111111111,0.004703547633383351,0,1,0.11250000000000004
1,0.002123117446899414,0.00016827839362730466,0.007581233978271484,0.0002589727145946019,16,{'n_neighbors': 16},0.8958333333333334,0.8680555555555556,0.8576388888888888,0.9097222222222222,0.875,0.88125,0.018941919023591478,4,0.9001736111111112,0.8923611111111112,0.9053819444444444,0.8897569444444444,0.8958333333333334,0.896701388888889,0.0055718078249587496,0,0,0.11875000000000002
2,0.002115201950073242,0.00020686525923803933,0.007874822616577149,0.0006592301494546743,17,{'n_neighbors': 17},0.8923611111111112,0.8715277777777778,0.8541666666666666,0.9097222222222222,0.8784722222222222,0.88125,0.018814190533533438,4,0.8967013888888888,0.8940972222222222,0.9045138888888888,0.8923611111111112,0.8949652777777778,0.8965277777777778,0.004231270002414534,0,0,0.11875000000000002
3,0.0021772384643554688,0.00015233742005103532,0.007883358001708984,0.0003914564846017596,18,{'n_neighbors': 18},0.8958333333333334,0.8645833333333334,0.8541666666666666,0.9166666666666666,0.8784722222222222,0.8819444444444444,0.022287231299835016,2,0.8975694444444444,0.8923611111111112,0.9045138888888888,0.8897569444444444,0.8888888888888888,0.8946180555555557,0.005799754544614597,0,0,0.11805555555555558
4,0.0020549774169921877,0.00026516456905316,0.008606815338134765,0.000721890333080219,19,{'n_neighbors': 19},0.8923611111111112,0.8784722222222222,0.8506944444444444,0.9131944444444444,0.875,0.8819444444444444,0.020600551353043513,2,0.8923611111111112,0.8897569444444444,0.9036458333333334,0.8880208333333334,0.890625,0.8928819444444445,0.0055609782562663175,0,0,0.11805555555555558
5,0.002204275131225586,0.00022569481964971978,0.008419561386108398,0.0010255174078608582,20,{'n_neighbors': 20},0.8888888888888888,0.8715277777777778,0.8402777777777778,0.9166666666666666,0.8784722222222222,0.8791666666666667,0.02478690041329824,6,0.8897569444444444,0.8828125,0.9001736111111112,0.8862847222222222,0.8854166666666666,0.888888888888889,0.006063975415476752,0,0,0.12083333333333335
6,0.0020268440246582033,0.0001921519684197233,0.008543252944946289,0.0006396411550847579,21,{'n_neighbors': 21},0.8888888888888888,0.8645833333333334,0.8368055555555556,0.9097222222222222,0.8715277777777778,0.8743055555555556,0.024394677875347614,7,0.8828125,0.8854166666666666,0.9019097222222222,0.8819444444444444,0.8845486111111112,0.8873263888888889,0.0073942845274468216,0,0,0.12569444444444444
7,0.0021142005920410157,0.00023657700754524592,0.00843501091003418,0.0008905279326474867,22,{'n_neighbors': 22},0.8888888888888888,0.8645833333333334,0.8298611111111112,0.90625,0.875,0.8729166666666668,0.025666275850800432,8,0.8836805555555556,0.8784722222222222,0.9010416666666666,0.8784722222222222,0.8828125,0.8848958333333332,0.008355006538552742,0,0,0.12708333333333321
8,0.0022609710693359377,0.0002253001025715291,0.009610748291015625,0.001229306341809636,23,{'n_neighbors': 23},0.8854166666666666,0.8611111111111112,0.8402777777777778,0.9027777777777778,0.875,0.8729166666666666,0.021245914639969925,9,0.8819444444444444,0.8810763888888888,0.8940972222222222,0.8767361111111112,0.8802083333333334,0.8828125,0.005912981377057764,0,0,0.12708333333333344
9,0.0022098541259765623,0.00021013182932261008,0.008233213424682617,0.0006368019587321176,24,{'n_neighbors': 24},0.8819444444444444,0.8576388888888888,0.8402777777777778,0.9027777777777778,0.875,0.8715277777777779,0.0212912634954943,10,0.8802083333333334,0.8793402777777778,0.8923611111111112,0.875,0.8793402777777778,0.88125,0.0058463396668343,0,0,0.1284722222222221
0,0.0020724773406982423,0.0001932147224702512,0.006744813919067383,0.00031692634394229086,15,{'n_neighbors': 15},0.8472222222222222,0.9097222222222222,0.8784722222222222,0.9097222222222222,0.8923611111111112,0.8875,0.023302724632725723,1,0.9079861111111112,0.8975694444444444,0.9053819444444444,0.8932291666666666,0.9001736111111112,0.9008680555555555,0.005305800968727843,1,1,0.11250000000000004
1,0.002278709411621094,0.00013460620590052873,0.007716464996337891,0.0008610214698206468,16,{'n_neighbors': 16},0.84375,0.90625,0.8715277777777778,0.9027777777777778,0.8888888888888888,0.882638888888889,0.02296921584519615,3,0.90625,0.8923611111111112,0.9045138888888888,0.8923611111111112,0.9001736111111112,0.8991319444444444,0.0058720605990582216,1,0,0.11736111111111103
2,0.0021850109100341798,0.00037469403314320526,0.008195447921752929,0.0012889211226309188,17,{'n_neighbors': 17},0.84375,0.9097222222222222,0.8715277777777778,0.9097222222222222,0.8888888888888888,0.8847222222222222,0.024980702428617975,2,0.9036458333333334,0.890625,0.9027777777777778,0.8940972222222222,0.8984375,0.8979166666666668,0.004989620785833316,1,0,0.11527777777777781
