,Classifier,Test error,Optimism,Tuned
0,KNN,0.075,0.02291666666666666,No
1,KNN,0.075,0.018749999999999996,No
2,KNN,0.0625,0.010416666666666664,No
3,KNN,0.1,0.045138888888888895,No
4,KNN,0.11875,0.06180555555555555,No
5,KNN,0.09375,0.03958333333333333,No
6,KNN,0.075,0.019444444444444445,No
7,KNN,0.05625,-0.0034722222222222238,No
8,KNN,0.09375,0.04097222222222222,No
9,KNN,0.09375,0.03888888888888889,No
10,LDA,0.15625,0.11319444444444444,No
11,LDA,0.1125,0.07083333333333333,No
12,LDA,0.09375,0.05625,No
13,LDA,0.1125,0.07152777777777777,No
14,LDA,0.1125,0.07152777777777777,No
15,LDA,0.1125,0.07083333333333333,No
16,LDA,0.08125,0.03958333333333334,No
17,LDA,0.09375,0.05138888888888889,No
18,LDA,0.13125,0.09097222222222223,No
19,LDA,0.1125,0.06805555555555556,No
20,Random Forest,0.08125,0.08125,No
21,Random Forest,0.0625,0.0625,No
22,Random Forest,0.05,0.05,No
23,Random Forest,0.06875,0.06875,No
24,Random Forest,0.075,0.075,No
25,Random Forest,0.06875,0.06875,No
26,Random Forest,0.05,0.05,No
27,Random Forest,0.0625,0.0625,No
28,Random Forest,0.075,0.075,No
29,Random Forest,0.0875,0.0875,No
30,KNN,0.07499999999999996,0.022916666666666585,Yes
31,KNN,0.10624999999999996,0.10624999999999996,Yes
32,KNN,0.07499999999999996,0.07499999999999996,Yes
33,KNN,0.07499999999999996,0.07499999999999996,Yes
34,KNN,0.11875000000000002,0.06180555555555556,Yes
35,KNN,0.08750000000000002,0.08750000000000002,Yes
36,KNN,0.050000000000000044,0.050000000000000044,Yes
37,KNN,0.025000000000000022,0.025000000000000022,Yes
38,KNN,0.08125000000000004,0.08125000000000004,Yes
39,KNN,0.07499999999999996,0.07499999999999996,Yes
40,LDA,0.13124999999999998,0.0625,Yes
41,LDA,0.08750000000000002,0.02083333333333337,Yes
42,LDA,0.08125000000000004,0.011805555555555625,Yes
43,LDA,0.11875000000000002,0.05277777777777781,Yes
44,LDA,0.11875000000000002,0.05138888888888893,Yes
45,LDA,0.10624999999999996,0.03749999999999998,Yes
46,LDA,0.05625000000000002,-0.01041666666666663,Yes
47,LDA,0.0625,-0.01041666666666663,Yes
48,LDA,0.11250000000000004,0.04375000000000007,Yes
49,LDA,0.09999999999999998,0.03472222222222221,Yes
50,Random Forest,0.09375,0.09375,Yes
51,Random Forest,0.0625,0.0625,Yes
52,Random Forest,0.05625000000000002,0.05625000000000002,Yes
53,Random Forest,0.06874999999999998,0.06874999999999998,Yes
54,Random Forest,0.09999999999999998,0.09999999999999998,Yes
55,Random Forest,0.08750000000000002,0.08611111111111114,Yes
56,Random Forest,0.0625,0.0625,Yes
57,Random Forest,0.043749999999999956,0.043749999999999956,Yes
58,Random Forest,0.06874999999999998,0.06874999999999998,Yes
59,Random Forest,0.09999999999999998,0.09999999999999998,Yes
