,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_shrinkage,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,Outer fold iteration,Best model,CV error
0,0.44813880920410154,0.03701264511661708,0.026612377166748045,0.022397934937938683,svd,,{'solver': 'svd'},0.8472222222222222,0.9270833333333334,0.8402777777777778,0.8888888888888888,0.8819444444444444,0.8770833333333334,0.03133476159077356,3,0.9722222222222222,0.9661458333333334,0.9730902777777778,0.9635416666666666,0.9670138888888888,0.9684027777777778,0.0036664430697817586,5,0,0.12291666666666656
1,0.5749569892883301,0.01876104161312102,0.019214057922363283,0.011269119187646691,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.875,0.9270833333333334,0.8888888888888888,0.9166666666666666,0.90625,0.9027777777777779,0.018762855675147645,1,0.9401041666666666,0.9357638888888888,0.9383680555555556,0.9288194444444444,0.9366319444444444,0.9359375,0.0038586997866133493,5,1,0.0972222222222221
2,0.6034202575683594,0.1157046244297876,0.03341155052185059,0.03947324847009875,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.875,0.9270833333333334,0.8888888888888888,0.9166666666666666,0.90625,0.9027777777777779,0.018762855675147645,1,0.9401041666666666,0.9357638888888888,0.9383680555555556,0.9288194444444444,0.9366319444444444,0.9359375,0.0038586997866133493,5,0,0.0972222222222221
0,0.40715627670288085,0.04104144866814057,0.044968605041503906,0.027244005541952325,svd,,{'solver': 'svd'},0.875,0.8576388888888888,0.8263888888888888,0.8784722222222222,0.8680555555555556,0.861111111111111,0.018762855675147655,3,0.9704861111111112,0.9713541666666666,0.9713541666666666,0.9678819444444444,0.9722222222222222,0.9706597222222222,0.0014934592477504546,6,0,0.13888888888888895
1,0.49824953079223633,0.045570692587534226,0.05243315696716309,0.01637393016457407,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.8958333333333334,0.9340277777777778,0.8715277777777778,0.8958333333333334,0.8993055555555556,0.8993055555555556,0.020006750404011016,1,0.9401041666666666,0.9322916666666666,0.9418402777777778,0.9392361111111112,0.9366319444444444,0.9380208333333334,0.003321376123213383,6,1,0.10069444444444442
2,0.5050957679748536,0.12641643793149085,0.03773336410522461,0.013851727996685638,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.8958333333333334,0.9340277777777778,0.8715277777777778,0.8958333333333334,0.8993055555555556,0.8993055555555556,0.020006750404011016,1,0.9401041666666666,0.9322916666666666,0.9418402777777778,0.9392361111111112,0.9366319444444444,0.9380208333333334,0.003321376123213383,6,0,0.10069444444444442
0,0.4118935585021973,0.023157762801297384,0.04511680603027344,0.02876567064037989,svd,,{'solver': 'svd'},0.8125,0.9131944444444444,0.8472222222222222,0.8854166666666666,0.8611111111111112,0.8638888888888889,0.034119773601495124,3,0.9696180555555556,0.9661458333333334,0.9696180555555556,0.9618055555555556,0.9635416666666666,0.9661458333333334,0.0031538024521848974,7,0,0.13611111111111107
1,0.5007379055023193,0.055590505835102944,0.0299527645111084,0.008482143649221072,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.875,0.9166666666666666,0.8854166666666666,0.9097222222222222,0.8923611111111112,0.8958333333333333,0.015372183070262946,1,0.9322916666666666,0.9279513888888888,0.9427083333333334,0.9348958333333334,0.9288194444444444,0.9333333333333333,0.0053058009687278525,7,1,0.10416666666666674
2,0.5563788890838623,0.09893501162408473,0.04374337196350098,0.012117256137849116,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.875,0.9166666666666666,0.8854166666666666,0.9097222222222222,0.8923611111111112,0.8958333333333333,0.015372183070262946,1,0.9322916666666666,0.9279513888888888,0.9427083333333334,0.9348958333333334,0.9288194444444444,0.9333333333333333,0.0053058009687278525,7,0,0.10416666666666674
0,0.4280104637145996,0.0272930214565403,0.03569178581237793,0.026506099906621814,svd,,{'solver': 'svd'},0.8819444444444444,0.8472222222222222,0.8784722222222222,0.84375,0.8680555555555556,0.8638888888888889,0.01574414451215921,3,0.96875,0.9722222222222222,0.9644097222222222,0.9696180555555556,0.9635416666666666,0.9677083333333334,0.003266473562886605,8,0,0.13611111111111107
1,0.5514202117919922,0.06094071255668075,0.03959226608276367,0.025821425777762048,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.9097222222222222,0.8854166666666666,0.9027777777777778,0.8854166666666666,0.8958333333333334,0.8958333333333333,0.009572256077840447,1,0.9322916666666666,0.9392361111111112,0.9348958333333334,0.9409722222222222,0.9357638888888888,0.9366319444444444,0.0031056499687497218,8,1,0.10416666666666674
2,0.5903324127197266,0.08719332580788212,0.02883319854736328,0.02682368871901243,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.9097222222222222,0.8854166666666666,0.9027777777777778,0.8854166666666666,0.8958333333333334,0.8958333333333333,0.009572256077840447,1,0.9322916666666666,0.9392361111111112,0.9348958333333334,0.9409722222222222,0.9357638888888888,0.9366319444444444,0.0031056499687497218,8,0,0.10416666666666674
0,0.43086657524108884,0.05091539779954011,0.02666926383972168,0.01940102116327422,svd,,{'solver': 'svd'},0.8541666666666666,0.8611111111111112,0.8298611111111112,0.9131944444444444,0.8958333333333334,0.8708333333333332,0.029901458530015242,3,0.96875,0.9722222222222222,0.9704861111111112,0.9661458333333334,0.96875,0.9692708333333334,0.0020246360745990537,9,0,0.12916666666666676
1,0.5247905731201172,0.060956189408467,0.0195404052734375,0.017862834385583615,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.8854166666666666,0.8819444444444444,0.8888888888888888,0.9131944444444444,0.9131944444444444,0.8965277777777778,0.013784328639777233,1,0.9435763888888888,0.9366319444444444,0.9453125,0.9392361111111112,0.9348958333333334,0.9399305555555555,0.003974139979951233,9,1,0.10347222222222219
2,0.6191007137298584,0.0318931549212904,0.024034690856933594,0.02463124314868239,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.8854166666666666,0.8819444444444444,0.8888888888888888,0.9131944444444444,0.9131944444444444,0.8965277777777778,0.013784328639777233,1,0.9435763888888888,0.9366319444444444,0.9453125,0.9392361111111112,0.9348958333333334,0.9399305555555555,0.003974139979951233,9,0,0.10347222222222219
