,mean_fit_time,std_fit_time,mean_score_time,std_score_time,Number of neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,Outer fold iteration,Best model,CV error
0,0.001420307159423828,0.00045255751285550565,0.004208755493164062,0.0005720184222004379,1,{'n_neighbors': 1},0.9027777777777778,0.9479166666666666,0.8958333333333334,0.9409722222222222,0.9305555555555556,0.923611111111111,0.020717269291911502,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0.07638888888888895
1,0.0019618511199951173,0.0003636733440386529,0.006508398056030274,0.0010980439594829574,2,{'n_neighbors': 2},0.8993055555555556,0.9236111111111112,0.8958333333333334,0.9201388888888888,0.90625,0.9090277777777779,0.011067623229520287,3,0.9678819444444444,0.9565972222222222,0.9652777777777778,0.9635416666666666,0.9592013888888888,0.9625,0.0040863202416457755,0,0,0.09097222222222212
2,0.002213001251220703,0.00018807874436614505,0.008137893676757813,0.0008729078541738832,3,{'n_neighbors': 3},0.9131944444444444,0.9201388888888888,0.8958333333333334,0.9375,0.9201388888888888,0.9173611111111111,0.013429916392926178,2,0.9609375,0.9539930555555556,0.9635416666666666,0.9618055555555556,0.9618055555555556,0.9604166666666666,0.0033213761232133545,0,0,0.08263888888888893
3,0.0022708415985107423,1.3052279496800398e-05,0.006867551803588867,0.0005000373861614072,4,{'n_neighbors': 4},0.9097222222222222,0.9166666666666666,0.8819444444444444,0.9270833333333334,0.90625,0.9083333333333332,0.01499099523952981,6,0.9487847222222222,0.9427083333333334,0.9444444444444444,0.9435763888888888,0.9479166666666666,0.945486111111111,0.0024181229647889002,0,0,0.09166666666666679
4,0.0022358417510986326,4.30593194788458e-05,0.006726980209350586,0.0006703603448697086,5,{'n_neighbors': 5},0.9131944444444444,0.9131944444444444,0.8854166666666666,0.9375,0.8958333333333334,0.9090277777777777,0.01775932201742281,5,0.9392361111111112,0.9357638888888888,0.9479166666666666,0.9375,0.9444444444444444,0.9409722222222221,0.004527223892501832,0,0,0.09097222222222234
5,0.002436923980712891,0.0001978739423642859,0.006864309310913086,0.0005342228880673047,6,{'n_neighbors': 6},0.9131944444444444,0.9131944444444444,0.8819444444444444,0.9270833333333334,0.8993055555555556,0.9069444444444444,0.01527777777777779,7,0.9270833333333334,0.9270833333333334,0.9305555555555556,0.9296875,0.9340277777777778,0.9296875,0.0025750689191304296,0,0,0.09305555555555556
6,0.0022010326385498045,0.00017097962954176592,0.0071446895599365234,0.0009567118787967214,7,{'n_neighbors': 7},0.9131944444444444,0.9166666666666666,0.8958333333333334,0.9236111111111112,0.8958333333333334,0.9090277777777779,0.01128338667310549,3,0.9201388888888888,0.9331597222222222,0.9322916666666666,0.9314236111111112,0.9340277777777778,0.9302083333333334,0.005109006586653548,0,0,0.09097222222222212
7,0.002098417282104492,0.0002488069672312256,0.00673060417175293,0.0009888451126617898,8,{'n_neighbors': 8},0.9097222222222222,0.8888888888888888,0.8715277777777778,0.9305555555555556,0.8923611111111112,0.898611111111111,0.020054901497491187,8,0.9166666666666666,0.921875,0.9279513888888888,0.9227430555555556,0.9288194444444444,0.923611111111111,0.004426232216660398,0,0,0.10138888888888897
8,0.0021394729614257813,0.00016494041991369453,0.007315492630004883,0.0006443085121067377,9,{'n_neighbors': 9},0.9027777777777778,0.8854166666666666,0.8784722222222222,0.9201388888888888,0.8958333333333334,0.8965277777777777,0.014467129622221978,9,0.9114583333333334,0.9236111111111112,0.9210069444444444,0.9201388888888888,0.9201388888888888,0.9192708333333334,0.004108388738263613,0,0,0.1034722222222223
0,0.002290964126586914,0.0006078878425484738,0.005736780166625976,0.0006105854361207447,1,{'n_neighbors': 1},0.9027777777777778,0.9444444444444444,0.9201388888888888,0.9305555555555556,0.9166666666666666,0.9229166666666668,0.013958160584890123,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,0.07708333333333317
