,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_shrinkage,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,Outer fold iteration,Best model,Test error
4,0.11237486203511556,0.010306456018499372,0.0,0.0,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.9083333333333333,0.8875,0.9166666666666666,0.9041666666666667,0.012266334536566462,1,0.93125,0.9552083333333333,0.9354166666666667,0.9406249999999999,0.010451331210619719,3,0,0.09583333333333333
0,0.15000192324320474,0.017098758111759337,0.0,0.0,svd,,{'solver': 'svd'},0.85,0.88125,0.8625,0.8645833333333334,0.01284252917285203,3,0.978125,0.9708333333333333,0.9729166666666667,0.9739583333333334,0.0030665836341416276,4,0,0.13541666666666663
1,0.061623334884643555,0.007714312369829303,0.0052178700764973955,0.007379182628883357,lsqr,,"{'shrinkage': None, 'solver': 'lsqr'}",0.85,0.88125,0.8625,0.8645833333333334,0.01284252917285203,3,0.978125,0.9708333333333333,0.9729166666666667,0.9739583333333334,0.0030665836341416276,4,0,0.13541666666666663
2,0.05219801266988119,0.007294222653175125,0.00025200843811035156,0.00035639375100811994,eigen,,"{'shrinkage': None, 'solver': 'eigen'}",0.85,0.88125,0.8625,0.8645833333333334,0.01284252917285203,3,0.978125,0.9708333333333333,0.9729166666666667,0.9739583333333334,0.0030665836341416276,4,0,0.13541666666666663
3,0.07916959126790364,0.0024330010098448335,0.0,0.0,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.8916666666666667,0.9083333333333333,0.9020833333333333,0.9006944444444445,0.006874649261535854,1,0.9395833333333333,0.9427083333333334,0.9416666666666667,0.9413194444444445,0.001299186592629856,4,1,0.09930555555555554
4,0.10889895757039388,0.0034387072367259514,0.00034356117248535156,0.0004858688696335864,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.8916666666666667,0.9083333333333333,0.9020833333333333,0.9006944444444445,0.006874649261535854,1,0.9395833333333333,0.9427083333333334,0.9416666666666667,0.9413194444444445,0.001299186592629856,4,0,0.09930555555555554
0,0.1363795598347982,0.007070975125733192,0.0,0.0,svd,,{'solver': 'svd'},0.86875,0.8666666666666667,0.8416666666666667,0.8590277777777778,0.01230558690740928,3,0.9770833333333333,0.978125,0.9739583333333334,0.9763888888888889,0.001770492886664148,5,0,0.14097222222222217
1,0.06399941444396973,0.001380544138876024,0.0015439987182617188,0.002183543927652398,lsqr,,"{'shrinkage': None, 'solver': 'lsqr'}",0.86875,0.8666666666666667,0.8416666666666667,0.8590277777777778,0.01230558690740928,3,0.9770833333333333,0.978125,0.9739583333333334,0.9763888888888889,0.001770492886664148,5,0,0.14097222222222217
2,0.05172014236450195,0.004147363192704433,0.002329746882120768,0.003294759637591623,eigen,,"{'shrinkage': None, 'solver': 'eigen'}",0.86875,0.8666666666666667,0.8416666666666667,0.8590277777777778,0.01230558690740928,3,0.9770833333333333,0.978125,0.9739583333333334,0.9763888888888889,0.001770492886664148,5,0,0.14097222222222217
3,0.07888237635294597,0.00015777166201022598,0.0,0.0,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.9083333333333333,0.89375,0.8916666666666667,0.8979166666666667,0.007414637675021718,1,0.9458333333333333,0.9416666666666667,0.9416666666666667,0.9430555555555555,0.0019641855032959585,5,1,0.1020833333333333
